LinMan,Site,Season,uso,vveg,temp
100,1001,3,1,0.5233,15.6
100,1002,1,0,0.1028,24
100,1002,3,0,0.3025,15.1
101,1011,3,0,0.14436,15.6
102,1021,3,0,0.34236,15.6
102,1022,3,0,0.3122,15.1
104,1041,3,1,0.3737,15.6
104,1042,2,1,0.2536,15.6
110,1101,3,0,0.3393825,6.6
114,1141,3,0,0.181116,6.78
119,1191,3,0,0.09044,6.8
119,1192,1,0,0.1459,25.2
119,1192,3,0,0.3436,12.3
122,1221,3,0,0.138291,6.8
125,1251,3,0,0.152847,6.8
125,1252,2,0,0.233,21.3
125,1252,3,0,0.1583,12.3
152,1522,1,0,0.3184,25.2
152,1522,2,0,0.1516,21.7
162,1622,1,0,0.7263,25.2
172,1722,2,1,0.4507,16
172,1722,3,1,0.3228,14.8
177,1772,2,1,0.0652,15.6
190,1902,2,0,0.6184,20.8
199,1992,2,0,0.6826,21.3
212,2122,3,1,0.4124,14.8
213,2132,3,0,0.2645,14.8
233,2332,3,1,0.4918,12.6
