farm,farm1,year,temporada,point,point2,prim,ver,management,conv,org,volveg,abundtotal,abund
CH,2,2,summer,6CH,301,0,1,C,1,0,0.77,48,48
CH,2,2,summer,25CH,302,0,1,C,1,0,0.39,29,27
DH,3,2,spring,6DH,131,1,0,O,0,1,0.23,20,20
DH,3,2,spring,12DH,132,1,0,O,0,1,0.3,45,45
DH,3,2,spring,22DH,133,1,0,O,0,1,0.52,13,13
DH,3,2,spring,24DH,134,1,0,O,0,1,0.78,39,39
DH,3,2,spring,13DH,135,1,0,O,0,1,0.87,56,56
DH,3,2,spring,4DH,136,1,0,O,0,1,0.57,48,47
DH,3,2,spring,5DH,137,1,0,O,0,1,0.72,84,84
DH,3,2,spring,17DH,138,1,0,O,0,1,0.68,30,30
DH,3,2,spring,2DH,139,1,0,O,0,1,0.18,34,34
DH,3,2,spring,21DH,140,1,0,O,0,1,0.58,64,64
DH,3,2,spring,10DH,141,1,0,O,0,1,0.81,29,29
DH,3,2,spring,9DH,142,1,0,O,0,1,0.68,24,24
DH,3,2,spring,26DH,143,1,0,O,0,1,0.7,144,143
DH,3,2,spring,1DH,144,1,0,O,0,1,0.35,73,72
DH,3,2,spring,31DH,145,1,0,O,0,1,0.84,65,65
DH,3,2,spring,27DH,146,1,0,O,0,1,0.52,65,65
DH,3,2,summer,6DH,339,0,1,O,0,1,1.05,56,56
DH,3,2,summer,12DH,340,0,1,O,0,1,1.1,203,196
DH,3,2,summer,22DH,341,0,1,O,0,1,0.52,36,35
DH,3,2,summer,24DH,342,0,1,O,0,1,0.68,13,13
DH,3,2,summer,13DH,343,0,1,O,0,1,0.87,59,58
DH,3,2,summer,4DH,344,0,1,O,0,1,0.33,59,59
DH,3,2,summer,5DH,345,0,1,O,0,1,0.28,96,92
DH,3,2,summer,17DH,346,0,1,O,0,1,1.05,146,82
DH,3,2,summer,2DH,347,0,1,O,0,1,0.39,68,66
DH,3,2,summer,21DH,348,0,1,O,0,1,1.58,113,109
DH,3,2,summer,10DH,349,0,1,O,0,1,0.47,17,17
DH,3,2,summer,9DH,350,0,1,O,0,1,0.56,50,46
DH,3,2,summer,26DH,351,0,1,O,0,1,0.82,42,37
DH,3,2,summer,1DH,352,0,1,O,0,1,0.52,49,47
DH,3,2,summer,31DH,353,0,1,O,0,1,1.12,37,36
DH,3,2,summer,27DH,354,0,1,O,0,1,0.58,28,28
LG,4,2,spring,9LGO,183,1,0,O,0,1,0.53,77,77
LG,4,2,spring,10LGO,184,1,0,O,0,1,0.67,63,63
LG,4,2,spring,2LGO,185,1,0,O,0,1,0.38,44,44
LG,4,2,spring,6LGO,186,1,0,O,0,1,0.54,129,129
LG,4,2,spring,1LGO,187,1,0,O,0,1,0.2,105,104
LG,4,2,spring,8LGO,188,1,0,O,0,1,0.7,44,44
LG,4,2,spring,3LGO,189,1,0,O,0,1,0.65,107,107
LG,4,2,spring,8LGC,190,1,0,C,1,0,0.25,2806,2802
LG,4,2,spring,4LGC,191,1,0,C,1,0,0.5,20,20
LG,4,2,spring,6LGC,192,1,0,C,1,0,0.21,52,52
LG,4,2,spring,9LGC,193,1,0,C,1,0,0.17,12,12
LG,4,2,spring,2LGC,194,1,0,C,1,0,0,7,7
LG,4,2,spring,3LGC,195,1,0,C,1,0,0.49,367,366
LG,4,2,spring,10LGC,196,1,0,C,1,0,0.13,13,13
LG,4,2,spring,1LGC,197,1,0,C,1,0,0.35,891,882
LG,4,2,spring,7LGC,198,1,0,C,1,0,0.38,406,399
LG,4,2,summer,9LGO,391,0,1,O,0,1,1.27,41,31
LG,4,2,summer,10LGO,392,0,1,O,0,1,1.45,223,210
LG,4,2,summer,2LGO,393,0,1,O,0,1,1.1,44,42
LG,4,2,summer,6LGO,394,0,1,O,0,1,1.34,150,142
LG,4,2,summer,1LGO,395,0,1,O,0,1,0.65,136,133
LG,4,2,summer,8LGO,396,0,1,O,0,1,1.17,87,85
LG,4,2,summer,3LGO,397,0,1,O,0,1,1.15,87,86
LG,4,2,summer,8LGC,398,0,1,C,1,0,0.88,114,113
LG,4,2,summer,4LGC,399,0,1,C,1,0,0.48,274,271
LG,4,2,summer,6LGC,400,0,1,C,1,0,0.57,23,23
LG,4,2,summer,9LGC,401,0,1,C,1,0,1.55,31,28
LG,4,2,summer,2LGC,402,0,1,C,1,0,0.75,172,171
LG,4,2,summer,3LGC,403,0,1,C,1,0,0.78,239,182
LG,4,2,summer,10LGC,404,0,1,C,1,0,0.18,38,38
LG,4,2,summer,1LGC,405,0,1,C,1,0,0.2,18,18
LG,4,2,summer,7LGC,406,0,1,C,1,0,0.2,23,23
